Restaurant,Location,Cuisine,Rating,Avg_Cost
The Spice House,Delhi,North Indian,4.2,800
Pizza Mania,Mumbai,Italian,3.8,600
Curry Point,Bangalore,South Indian,4.5,500
BBQ Nation,Hyderabad,Multi-Cuisine,4.3,1200
Sushi World,Pune,Japanese,4,900
Tandoori Tales,Delhi,Mughlai,4.1,700
Burger Hub,Mumbai,Fast Food,3.7,400
Green Leaf,Chennai,Continental,4.4,1000
Pasta Fiesta,Kolkata,Italian,3.9,650
Chaat Corner,Lucknow,Street Food,4,150
Royal Biryani,Hyderabad,Biryani,4.6,850
Urban Cafe,Bangalore,Cafe,4.2,550
Seafood Delight,Goa,Seafood,4.3,1100
Vegan Treats,Chandigarh,Vegan,4.5,750
Kebab Junction,Jaipur,Mughlai,4.1,950
